Code,Genus,Species,Name,Habitat,Type,Forest,Gmin,TLP,LSWC,MajVLA,Nitrogen,Carbon,Phosphorous,Potassium,SD
K584,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Kaw,-0.030349372,-0.650469298,5.582368982,1.1343416,1.134622726,3.849721979,-0.157300893,2.316393864,5.558192927
K588,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Kaw,-0.170140571,-0.461038563,5.334912039,1.347042307,0.815364813,3.911222685,0.337987434,2.592940804,5.80402789
K589,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Kaw,1.291023331,-0.651554055,5.484427571,1.640693008,1.095273387,3.842672927,-0.243321131,2.537576263,5.889970319
K590,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Kaw,0.977155137,-0.515908683,5.513812543,1.22503713,0.920282753,3.910221383,-0.232537915,2.411796026,5.816766915
K594,Virola,michelii,Virola_michelii,TF,TF,Kaw,1.740238079,-0.497107965,5.359203131,1.655063797,0.828551818,3.979120749,-0.151463299,2.045476508,NA
K600,Virola,michelii,Virola_michelii,TF,TF,Kaw,2.037650588,-0.494574283,5.344109708,1.099553953,0.959350221,4.06834276,0.017162534,2.189039139,NA
F660,Gustavia,hexapetala,Gustavia_hexapetala,TF,TF,Paracou,NA,-0.781505983,5.55291501,1.249839783,0.819779831,3.861781789,-0.495944638,2.120400361,5.427431968
F675,Virola,michelii,Virola_michelii,BF,TF,Paracou,0.920235247,-0.619608277,4.969349998,2.061234453,0.832909123,3.950281718,-0.528668461,1.328576929,NA
F678,Virola,michelii,Virola_michelii,BF,TF,Paracou,1.43704208,-0.733732347,5.086303525,2.175434964,0.819779831,3.967079211,-0.173591186,2.17786826,NA
F683,Virola,michelii,Virola_michelii,BF,TF,Paracou,0.974642871,-0.681459141,5.191651555,2.190667656,1.043804052,3.951051392,-0.367680483,1.573785485,5.225195102
F684,Virola,michelii,Virola_michelii,BF,TF,Paracou,2.177763501,-0.567924036,5.011984384,1.852274189,0.693147181,3.969348072,-0.721855647,1.347914916,NA
F686,Virola,michelii,Virola_michelii,BF,TF,Paracou,1.546757375,-0.559638645,4.820460582,2.027400878,0.770108222,3.984157603,-0.043594051,2.015054971,5.818712441
M235,Virola,michelii,Virola_michelii,BF,TF,Paracou,2.533891045,NA,4.795124208,1.531292108,0.576613364,4.063713519,-0.213074475,1.465737222,NA
K491,Poraqueiba,guianensis,Poraqueiba_guianensis,TF,TF,Kaw,0.299983322,NA,5.016137463,1.995796925,0.277631737,3.915616541,-0.767850886,1.238606537,6.12945029
B316,Virola,michelii,Virola_michelii,BF,TF,Bafog,1.766508326,NA,5.117176712,NA,0.587786665,3.88793521,-0.589688472,1.511582528,5.901666359
M1,Iryanthera,hostmannii,Iryanthera_hostmannii,BF,BF,Paracou,0.119550014,-0.4518142,5.026096485,1.781652183,0.357674444,3.981922133,-0.119641263,2.415588735,5.427431968
M3,Iryanthera,hostmannii,Iryanthera_hostmannii,BF,BF,Paracou,-0.066964372,-0.396007189,5.012542807,1.853439626,0.431782416,3.980802521,-0.067746928,2.433022896,5.291886476
M157,Protium,opacum subsp. rabelianum,Protium_opacum subsp. rabelianum,BF,BF,Paracou,1.121677562,-0.838856619,4.889503658,1.840101291,0.131028262,3.940804807,-0.652837637,1.693439335,5.856099973
M158,Iryanthera,hostmannii,Iryanthera_hostmannii,BF,BF,Paracou,0.351396873,-0.51342225,4.878871481,1.537502676,0.392042088,3.93084476,-0.168132509,2.43073405,4.775670004
M159,Eschweilera,coriacea,Eschweilera_coriacea,TF,BF,Paracou,0.130974905,-0.527021755,4.835228972,1.915251784,0.300104592,3.997650091,-0.898842376,1.159294697,6.199340626
