Code,idTree,Plot,Subplot,FieldNr,Genus,Species,Name,Family,PrefHabitat,Habitat,Spcode,Fresh_Weight(g),Saturated_Weight(g),Dry_Weight(g),LSWC,Posmo,Ptlp,mean_Pmidday,FvFm,LA,gmin,Height_Tree,Dawkin_Tree,Height_Branch,Dawkin_Branch,Position_Crown
66,101665,6,1,2359,Protium,stevensonii,Protium stevensonii,Burseraceae,Generalist,BF,Pro.ste,0.618,0.644,0.331,0.947,-1.868,-2.157,,0.807,26.171,19.083,18,2,15,3,Inf
67,101138,6,1,538,Eschweilera,coriacea,Eschweilera coriacea,Lecythidaceae,Generalist,TF,Esc.cor,2.509,2.555,1.212,1.108,-1.113,-1.554,13.837,0.819,39.651,1.25,20,3,16,4,Mid
68,101016,6,1,405,Bocoa,prouacensis,Bocoa prouacensis,Fabaceae,Generalist,BF,Boc.pro,0.991,0.998,0.285,2.502,-1.45,-1.824,12.703,0.661,55.733,0.859,15,4,13,4,Sup
69,101485,6,1,890,Tachigali,melinonii,Tachigali melinonii,Fabaceae,Generalist,BF,Tac.mel,0.137,0.139,0.065,1.148,-1.808,-2.109,,0.824,13.453,2.621,35,5,24,3,Inf
70,103472,6,3,697,Conceveiba,guianensis,Conceveiba guianensis,Euphorbiaceae,Generalist,BF,Con.gui,3.913,4.005,1.635,1.45,-1.113,-1.554,3.25,0.824,86.717,3.715,12,2,11,3,Mid
71,103306,6,3,521,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,Bignoniaceae,Generalist,TF,Jac.cop,0.6126,0.6265,0.2234,1.80438675,,,12.06666667,0.799,15.5867405,3.624839998,32,4,28,3,Mid
72,104032,6,4,105,Conceveiba,guianensis,Conceveiba guianensis,Euphorbiaceae,Generalist,BF,Con.gui,0.789,0.754,0.301,1.501,-1.28,-1.688,,0.819,106.653,1.632,12,2,10,3,Mid
73,104806,6,4,2803,Carapa,surinamensis,Carapa surinamensis,Meliaceae,BF,BF,Car.sur,2.004,1.955,0.816,1.396,-1.338,-1.734,,0.824,84.13,3.171,14,2,12,3,Mid
74,102971,6,3,171,Licania,membranacea,Licania membranacea,Chrysobalanaceae,TF,TF,Lic.mem,1.18,1.239,0.481,1.578,-1.595,-1.939,,0.793,95.351,3.702,22,3,20,3,Mid
75,103117,6,3,324,Bocoa,prouacensis,Bocoa prouacensis,Fabaceae,Generalist,BF,Boc.pro,1.264,1.273,0.593,1.147,-1.253,-1.666,19.798,0.818,70.731,2.339,19,3,17,3,Mid
76,103259,6,3,473,Eschweilera,coriacea,Eschweilera coriacea,Lecythidaceae,Generalist,BF,Esc.cor,1.658,1.702,0.836,1.035,-1.423,-1.802,15.038,0.818,124.204,1.357,18,3,18,4,Sup
77,103275,6,3,489,Laetia,procera,Laetia procera,Salicaceae,BF,BF,Lae.pro,2.401,2.431,0.942,1.58,-1.523,-1.881,7.413,0.83,57.994,1.594,32,5,24,3,Inf
78,103288,6,3,502,Carapa,surinamensis,Carapa surinamensis,Meliaceae,BF,BF,Car.sur,3.153,3.204,1.37,1.339,-1.35,-1.744,14.433,0.827,188.912,1.959,26,4,21,3,Inf
79,103499,6,3,726,Jacaranda,copaia subsp. copaia,Jacaranda copaia subsp. copaia,Bignoniaceae,Generalist,TF,Jac.cop,0.235,0.236,0.066,2.597,-0.858,-1.35,10,0.829,15.472,3.193,17,2,14,3,Inf
80,104037,6,4,110,Eschweilera,coriacea,Eschweilera coriacea,Lecythidaceae,Generalist,BF,Esc.cor,2.464,2.494,1.271,0.963,-1.278,-1.686,,0.798,58.824,1.374,30,4,26,3,Inf
81,104123,6,4,196,Eschweilera,coriacea,Eschweilera coriacea,Lecythidaceae,Generalist,BF,Esc.cor,1.548,1.532,0.714,1.144,-1.248,-1.662,,0.823,43.88,1.247,15,3,15,3,Sup
82,104116,6,4,189,Conceveiba,guianensis,Conceveiba guianensis,Euphorbiaceae,Generalist,BF,Con.gui,0.987,0.961,0.397,1.424,-1.565,-1.915,,0.834,76.341,2.071,14,2,14,3,Sup
83,104783,6,4,2351,Eschweilera,coriacea,Eschweilera coriacea,Lecythidaceae,Generalist,BF,Esc.cor,1.393,1.385,0.509,1.721,-0.988,-1.454,,0.769,41.315,2.982,14,2,10,3,Sup
84,236720,6,4,2969,Conceveiba,guianensis,Conceveiba guianensis,Euphorbiaceae,Generalist,BF,Con.gui,1.423,1.419,0.602,1.359,-1.445,-1.82,,0.819,133.903,1.448,12,3,12,3,Sup
85,104225,6,4,298,Eperua,falcata,Eperua falcata,Fabaceae,BF,BF,Epe.fal,0.839,0.842,0.36,1.341,-1.29,-1.696,,0.761,58.866,1.365,30,4,15,3,Inf
86,104374,6,4,450,Chrysophyllum,prieurii,Chrysophyllum prieurii,Sapotaceae,Generalist,TF,Chr.pri,,,0.283,,-1.555,-1.907,,0.734,176.596,6.294,18,2,16,2,Mid
87,104726,6,4,2050,Protium,stevensonii,Protium stevensonii,Burseraceae,Generalist,TF,Pro.ste,0.633,0.633,,,-1.77,-2.079,,0.822,34.981,14.727,20,3,16,3,Inf
88,203357,6,4,2930,Virola,michelii,Virola michelii,Myristicaceae,Generalist,TF,Vir.mic,0.76,0.766,0.3,1.55,-1.325,-1.724,,0.815,51.2,2.613,12,2,11,3,Mid
