Code,DateField,Plot,Subplot,idTree,FieldNbr,Species_Name,Forest,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,CommentField,CommentLab,Site,Genus,Species,Habitat,FW,SW,DW,Comment_Lab,LSWC,FvFm,LA,gmin,Ptlp
355,2021-03-08T00:00:00Z,2,14,34450,41,Con.gui,Bafog,15,2,14,2,sup,,,Bafog,Conceveiba,guianensis,TF,1.1302,1.1854,0.3361,,2.52692650996727,827,137.1656329,14.78894603,-2.07124
356,2021-03-08T00:00:00Z,2,14,10660,23,Iry.sag,Bafog,15,3,13,2,middle,,,Bafog,Iryanthera,sagotiana,TF,0.9131,0.9222,0.2912,,2.1668956043956,826,46.62529989,1.486977765,-1.4460225
357,2021-03-08T00:00:00Z,2,15,33463,36,Gus.hex,Bafog,13,3,12,3,middle,,,Bafog,Gustavia,hexapetala,TF,0.7621,0.7864,0.2406,,2.26849542809643,760,64.7434693,4.629286856,-1.9414025
358,2021-03-08T00:00:00Z,2,6,852,15,Vou.ame,Bafog,26,5,21,3,sup,,,Bafog,Vouacapoua,americana,TF,0.9214,0.9452,0.4238,,1.23029731005191,829,46.12973385,2.310426184,-1.7416525
359,2021-03-08T00:00:00Z,2,4,820,9,Con.gui,Bafog,14,3,14,3,middle,,,Bafog,Conceveiba,guianensis,TF,1.3046,1.3776,0.5683,,1.42407179306704,807,116.1504733,4.959834581,-1.6657475
360,2021-03-08T00:00:00Z,2,2,783,10,Boc.pro,Bafog,15,2,13,2,middle,,,Bafog,Bocoa,prouacensis,TF,1.2942,1.3527,0.6192,,1.18459302325581,836,52.72453669,4.425596528,-1.5538875
361,2021-03-08T00:00:00Z,2,3,3826,9,Vir.mic,Bafog,29,5,21,3,middle,,,Bafog,Virola,michelii,TF,0.452999999999999,0.4938,0.1909,,1.58669460450498,782,19.99188038,5.771722745,-1.63179
362,2021-03-08T00:00:00Z,2,3,33255,48,Iry.sag,Bafog,14,2,12,2,sup,,,Bafog,Iryanthera,sagotiana,TF,0.8409,0.8388,0.3435,,1.44192139737991,767,37.65280776,1.950403391,-1.6377825
363,2021-03-08T00:00:00Z,2,3,246162,66,Cas.jav,Bafog,11,2,11,2,sup,,,Bafog,Casearia,javitensis,TF,0.8627,0.9039,0.4589,,0.969710176509044,822,50.15321623,3.121399452,
363,2021-03-08T00:00:00Z,2,3,246162,66,Cas.jav,Bafog,11,2,11,2,sup,,,Bafog,Casearia,javitensis,TF,0.8627,0.9039,0.4589,,0.969710176509044,822,50.15321623,3.121399452,-1.8015775
364,2021-03-08T00:00:00Z,2,10,925,24,Vou.ame,Bafog,32,5,25,3,middle,,,Bafog,Vouacapoua,americana,TF,0.3432,0.3551,0.1678,,1.11620977353993,789,25.83458039,3.856252431,-1.8455225
365,2021-03-08T00:00:00Z,2,10,908,1,Boc.pro,Bafog,12,2,12,2,sup,,,Bafog,Bocoa,prouacensis,TF,2.0405,2.1031,0.863,,1.4369640787949,767,55.91051318,5.672452084,-1.3301675
366,2021-03-08T00:00:00Z,2,1,33221,45,Vou.ame,Bafog,14,2,12,2,middle,,,Bafog,Vouacapoua,americana,TF,1.2492,1.3229,0.5701,,1.32047009296615,812,36.88133501,5.049017067,-1.827545
367,2021-03-09T00:00:00Z,2,10,911,5,Vir.mic,Bafog,28,4,23,2,inf,,,Bafog,Virola,michelii,TF,0.973099999999999,0.9908,0.3496,,1.83409610983982,821,30.86546498,9.474659309,-1.5179325
368,2021-03-09T00:00:00Z,2,10,10635,29,Chr.pri,Bafog,18,2,16,4,sup,,,Bafog,Chrysophyllum,prieurii,TF,2.0075,2.2079,0.8918,,1.4757793227181,821,84.58882528,3.545981503,-1.963375
369,2021-03-09T00:00:00Z,2,18,33521,46,Gus.hex,Bafog,13,2,11,2,inf,,,Bafog,Gustavia,hexapetala,TF,1.2066,1.2069,0.364,,2.31565934065934,828,60.55743937,12.44577816,-1.7376575
370,2021-03-09T00:00:00Z,2,18,33527,52,Gus.hex,Bafog,10,3,9,4,middle,,,Bafog,Gustavia,hexapetala,TF,1.3378,1.344,0.426,,2.15492957746479,696,44.96789141,8.869065688,-1.93541
371,2021-03-09T00:00:00Z,2,19,1074,23,Jac.cop,Bafog,28,3,25,2,inf,,,Bafog,Jacaranda,copaia,TF,0.3987,0.3996,0.1277,,2.12920908379013,865,22.96802866,8.454174494,
371,2021-03-09T00:00:00Z,2,19,1074,23,Jac.cop,Bafog,28,3,25,2,inf,,,Bafog,Jacaranda,copaia,TF,0.3987,0.3996,0.1277,,2.12920908379013,865,22.96802866,8.454174494,-1.3621275
372,2021-03-09T00:00:00Z,2,19,1073,22,Boc.pro,Bafog,24,2,21,3,middle,,,Bafog,Bocoa,prouacensis,TF,1.4108,1.4257,0.5732,,1.48726448011165,821,51.23682797,2.784142712,-1.420055
373,2021-03-09T00:00:00Z,2,20,1082,9,Boc.pro,Bafog,24,3,20,4,inf,,,Bafog,Bocoa,prouacensis,TF,1.6521,1.6932,0.7603,,1.22701565171643,860,88.17487657,3.405640607,-1.7536375
374,2021-03-09T00:00:00Z,2,27,33661,49,Chr.pri,Bafog,18,2,17,3,inf,,,Bafog,Chrysophyllum,prieurii,TF,3.3445,3.4671,1.3737,,1.52391351823542,841,217.4212497,20.46398219,-1.87149
375,2021-03-09T00:00:00Z,2,19,1061,9,Vir.mic,Bafog,23,3,20,2,inf,,,Bafog,Virola,michelii,TF,0.578200000000001,0.6048,0.2617,,1.31104317921284,770,34.52743347,10.45962131,-1.587845
376,2021-03-09T00:00:00Z,2,28,33692,51,Chr.pri,Bafog,14,5,12,4,inf,,,Bafog,Chrysophyllum,prieurii,TF,4.5714,4.8469,2.1993,,1.20383758468604,865,62.13089388,11.11039475,-2.0532625
377,2021-03-09T00:00:00Z,2,44,10873,37,Boc.pro,Bafog,12,1,11,2,middle,,,Bafog,Bocoa,prouacensis,TF,2.9889,3.1848,1.1677,herbivory,1.72741286289287,870,125.7062708,18.40606741,-1.44802
378,2021-03-09T00:00:00Z,2,36,10818,24,Vir.mic,Bafog,32,5,22,4,inf,,,Bafog,Virola,michelii,TF,0.512499999999999,0.5325,0.2255,,1.36141906873614,892,40.46100527,2.155309388,-1.7376575
379,2021-03-09T00:00:00Z,2,37,33880,50,Gus.hex,Bafog,14,2,13,3,sup,,,Bafog,Gustavia,hexapetala,TF,1.6502,1.7643,0.5658,,2.11823966065748,796,88.26302408,2.246312593,-2.011315
380,2021-03-09T00:00:00Z,2,52,34229,44,Cas.jav,Bafog,11,2,10,2,middle,,,Bafog,Casearia,javitensis,TF,0.9838,1.0194,0.523,,0.949139579349904,847,84.7662972,3.704104618,-1.899455
381,2021-03-09T00:00:00Z,2,43,34016,33,Vou.ame,Bafog,12,2,10,2,middle,,,Bafog,Vouacapoua,americana,TF,0.297799999999999,0.315,0.1595,,0.974921630094044,823,41.23537116,1.842645611,-1.8575075
382,2021-03-09T00:00:00Z,2,51,1681,22,Boc.pro,Bafog,25,2,22,2,middle,,,Bafog,Bocoa,prouacensis,TF,0.880699999999999,0.9005,0.4861,,0.85249948570253,843,46.74071801,2.685967441,-1.9973325
383,2021-03-09T00:00:00Z,2,57,1787,4,Chr.pri,Bafog,19,4,16,3,inf,,,Bafog,Chrysophyllum,prieurii,TF,3.4954,3.7201,1.4676,,1.53481875170346,875,205.0050067,2.32298486,
383,2021-03-09T00:00:00Z,2,57,1787,4,Chr.pri,Bafog,19,4,16,3,inf,,,Bafog,Chrysophyllum,prieurii,TF,3.4954,3.7201,1.4676,,1.53481875170346,875,205.0050067,2.32298486,-2.05526
