Code,idTree,Genus,Species,Name,Forest,Habitat,Type,HabitatType,Gmin,FvFm,TLP,LA,SLA,LSWC,FW,SW,DW,Midrib VLA,2VLA,3VLA,MajVLA,MidribWidth,SecundaryWidth,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,LT,CC,LDMC,Xutm,Yutm,Latitude,Longitude,DBH,TWI
39,148940,Pterocarpus,officinalis,Pterocarpus_officinalis,Paracou,BF,BF,BFBF,1.92337403,0.778,-2.0013275,29.61182917,67.20796452,2.512936904,1.4775,1.5478,0.4406,0.265365,1.38417,2.918973,4.568508,0.0260725,0.01318833,18,4,15,3,Sup,,,,"286,476.13","583,550.56",,,,
40,149391,Bocoa,prouacensis,Bocoa_prouacensis,Paracou,BF,Generalist,BFGeneralist,2.06771828,0.819,-1.9334125,15.29429583,49.85102944,2.478813559,1.0717,1.0673,0.3068,0.50883,1.81999,3.042858,5.371678,0.056666667,0.01353333,14,3,12,3,Sup,,,,"286,523.81","583,564.00",,,,
41,181305,Protium,opacum subsp. rabelianum,Protium_opacum subsp. rabelianum,Paracou,BF,BF,BFBF,3.41429714,0.815,-2.003325,105.0459083,90.3465282,1.073449729,2.3854,2.4108,1.1627,0.199436,1.247886,1.81166,3.258982,0.081715833,0.01749083,18,2,15,3,Mid,,,,"286,530.13","583,173.94",,,,
42,102701,Protium,opacum subsp. rabelianum,Protium_opacum subsp. rabelianum,Paracou,BF,BF,BFBF,2.80400739,0.837,-2.1930875,108.0903222,85.03014649,1.182190057,2.7027,2.774,1.2712,0.189103,1.0803,1.862598,3.132001,0.086275833,0.02676,25,2,22,3,Mid,,,,"286,536.88","583,143.44",,,,
43,178746,Carapa,surinamensis,Carapa_surinamensis,Paracou,BF,BF,BFBF,1.51665156,0.814,-1.6337875,159.3987569,28.14790248,1.115841707,11.7631,11.9818,5.6629,0.142844,0.629807,0.990106,1.762757,0.0925,0.03949,19,4,19,4,Sup,,,,"286,551.59","583,131.50",,,,
44,205764,Protium,opacum subsp. rabelianum,Protium_opacum subsp. rabelianum,Paracou,BF,BF,BFBF,7.29310114,0.804,-2.1091925,63.67922639,54.98120047,1.270851321,2.5918,2.6301,1.1582,0.276558,1.456041,4.097345,5.829944,0.065283333,0.0238375,15,4,14,4,Mid,,,,"286,548.88","583,098.19",,,,
45,145931,Conceveiba,guianensis,Conceveiba_guianensis,Paracou,BF,Generalist,BFGeneralist,2.03794712,0.781,-1.7935875,39.31113611,,1.376789018,2.4011,2.4412,1.0271,0.259097,0.962375,2.1188,3.340273,0.0466925,0.02809,12,4,11,4,Sup,,,,"286,355.00","583,748.94",,,,
46,145945,Symphonia,globulifera,Symphonia_globulifera,Paracou,BF,BF,BFBF,1.78405748,0.807,-1.7456475,40.85487639,77.70041154,2.599847851,1.8714,1.8928,0.5258,0.315004,2.273956,2.514744,5.103705,0.066294167,0.018515,25,4,18,3,Mid,,,,"286,358.66","583,731.44",,,,
47,145883,Symphonia,globulifera,Symphonia_globulifera,Paracou,BF,BF,BFBF,1.67008679,0.785,-1.7376575,23.90310833,104.2438218,2.163541212,0.7241,0.7254,0.2293,0.386545,3.788143,1.878942,6.05363,0.055,0.0192925,32,4,25,3,Mid,,,,"286,356.53","583,723.56",,,,
48,145949,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,Paracou,BF,Generalist,BFGeneralist,4.57686156,0.808,-1.348145,18.22708472,65.82551362,1.861682918,0.7742,0.7924,0.2769,0.477211,1.709754,4.257319,6.444285,0.0293875,0.01396583,12,3,12,3,Sup,,,,"286,367.41","583,720.56",,,,
49,145666,Carapa,surinamensis,Carapa_surinamensis,Paracou,BF,BF,BFBF,2.72010602,0.764,-1.77561,178.1236222,64.60542681,1.270936854,6.043,6.2612,2.7571,0.142833,0.605802,0.852821,1.601456,0.1397381,0.03441806,16,3,14,3,Sup,,,,"286,337.47","583,663.94",,,,
50,147391,Gustavia,hexapetala,Gustavia_hexapetala,Paracou,TF,TF,TFTF,0.85639033,0.646,-2.131165,56.74726111,173.4329496,1.612775061,0.8311,0.8549,0.3272,0.270929,1.149195,4.074534,5.494659,0.0466975,0.0173475,12,3,10,3,Sup,,,,"286,525.81","583,718.63",,,,
51,147235,Dicorynia,guianensis,Dicorynia_guianensis,Paracou,TF,TF,TFTF,7.00346345,0.749,-1.603825,56.22491111,109.047539,1.564003103,1.2858,1.322,0.5156,0.249567,1.198515,3.015691,4.463773,0.027083333,0.01659,15,3,14,4,Sup,,,,"286,500.13","583,762.00",,,,
52,226846,Hymenopus,heteromorphus,Hymenopus_heteromorphus,Paracou,BF,Generalist,BFGeneralist,2.45737803,0.813,-1.51194,41.16433194,129.8969137,1.128116125,0.6586,0.6744,0.3169,0.259844,1.448851,5.024696,6.733391,0.0335675,0.00909333,15,4,12,3,Mid,,,,"286,488.25","583,572.38",,,,
53,149005,Bocoa,prouacensis,Bocoa_prouacensis,Paracou,BF,Generalist,BFGeneralist,5.903358,0.753,-1.8095675,29.74151806,32.99480592,1.016640781,1.7913,1.8178,0.9014,0.273512,1.387299,1.277588,2.938399,0.057563333,0.01145667,15,2,14,3,Sup,,,,"286,466.72","583,620.69",,,,
54,249664,Protium,opacum subsp. rabelianum,Protium_opacum subsp. rabelianum,Paracou,BF,BF,BFBF,3.73545747,0.829,-2.035285,85.18173333,243.7943141,1.253005152,0.7861,0.7872,0.3494,0.204554,1.337249,3.45698,4.998783,0.076733333,0.023315,14,3,12,3,Sup,,,,"286,532.38","583,097.25",,,,
