Code,idTree,Genus,Species,Name,Forest,Habitat,Type,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,CrownPosition,DBH,Xutm,Yutm,TWI
557,,Carapa,guianensis,Carapa_guianensis,Kaw,BF,BF,12,4,8,3,Inf,21,355577.48,521589.99,8.813516
558,,Virola,surinamensis,Virola_surinamensis,Kaw,BF,BF,17,5,16,4,Sup,36.5,357372.06,521330.47,7.071829
559,,Carapa,guianensis,Carapa_guianensis,Kaw,BF,BF,15,2,15,2,Sup,20.2,357372.37,521325.72,7.071829
560,,Virola,surinamensis,Virola_surinamensis,Kaw,BF,BF,16,4,16,4,Sup,25,357376.71,521326.6,7.071829
561,,Virola,surinamensis,Virola_surinamensis,Kaw,BF,BF,19,5,18,5,Sup,29,357364.5,521325.19,7.071829
562,,Carapa,guianensis,Carapa_guianensis,Kaw,BF,BF,18,4,16,4,Sup,31.5,357368.73,521332.81,7.071829
563,,Symphonia,globulifera,Symphonia_globulifera,Kaw,BF,BF,24,5,23,4,Mid,75.2,357348.12,521343.45,7.071829
564,,Carapa,guianensis,Carapa_guianensis,Kaw,BF,BF,18,3,16,4,Sup,26.5,357350.78,521341.68,7.071829
565,,Virola,surinamensis,Virola_surinamensis,Kaw,BF,BF,12,2,12,2,Sup,19.7,357349.11,521342.57,7.071829
566,,Virola,surinamensis,Virola_surinamensis,Kaw,BF,BF,16,4,14,2,Mid,45.4,357341.24,521346.12,7.071829
567,,Virola,surinamensis,Virola_surinamensis,Kaw,BF,BF,19,5,17,4,Mid,42,357980.2,509509.3,6.345963
568,,,,_,Kaw,,,,,,,,,,,
569,,,,_,Kaw,,,,,,,,,,,
570,,Laetia,procera,Laetia_procera,Kaw,BF,BF,14,4,14,4,Sup,15.2,357324.84,521352.45,7.071829
571,,Carapa,guianensis,Carapa_guianensis,Kaw,BF,BF,23,5,20,4,Mid,50.4,357421.49,521311.14,6.819372
572,,Tachigali,melinonii,Tachigali_melinonii,Kaw,TF,Generalist,28,5,20,3,Inf,50,358212.22,509274.35,5.707512
573,,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,Kaw,TF,Generalist,23,4,19,4,Inf,32,357991.63,509260.59,6.816395
574,,Tachigali,melinonii,Tachigali_melinonii,Kaw,TF,Generalist,19,4,15,3,Mid,47,358211.98,509263.19,5.707512
575,,Tachigali,melinonii,Tachigali_melinonii,Kaw,TF,Generalist,35,5,28,4,Mid,60,358119.6,509226.53,7.479839
576,,Protium,stevensonii,Protium_stevensonii,Kaw,TF,Generalist,20,4,17,3,Inf,60,358141.47,509226.38,6.754034
577,,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,Kaw,TF,Generalist,32,5,32,5,Sup,40.7,358257.83,509276.03,5.707512
578,,Iryanthera,sagotiana,Iryanthera_sagotiana,Kaw,TF,TF,25,4,16,4,Inf,35.9,358273.25,509280.44,5.707512
579,,Licania,membranacea,Licania_membranacea,Kaw,TF,TF,18,4,16,4,Mid,18.6,358245.23,509367.94,6.703697
580,,Poraqueiba,guianensis,Poraqueiba_guianensis,Kaw,TF,TF,24,5,18,4,Inf,36.5,358258.38,509341.16,6.703697
581,,Iryanthera,sagotiana,Iryanthera_sagotiana,Kaw,TF,TF,29,5,25,4,Inf,,358247.64,509412.28,6.703697
582,228348,Iryanthera,sagotiana,Iryanthera_sagotiana,Kaw,TF,TF,23,3,21,3,Mid,27.1,358016,509470.9,6.345963
583,228463,Poraqueiba,guianensis,Poraqueiba_guianensis,Kaw,TF,TF,14,2,12,2,Inf,14.3,357992.1,509456.7,6.345963
584,228208,Gustavia,hexapetala,Gustavia_hexapetala,Kaw,TF,TF,14,3,11,3,Inf,21.6,358035.3,509486,6.690291
585,228431,Eschweilera,coriacea,Eschweilera_coriacea,Kaw,TF,Generalist,20,2,17,2,Mid,35.3,357997.2,509467.8,6.345963
586,228391,Eschweilera,coriacea,Eschweilera_coriacea,Kaw,TF,Generalist,19,2,16,2,Inf,23.4,358001.3,509465.8,6.345963
587,228447,Bocoa,prouacensis,Bocoa_prouacensis,Kaw,TF,Generalist,12,3,11,2,Mid,19.4,357967.8,509483.2,6.345963
588,228227,Gustavia,hexapetala,Gustavia_hexapetala,Kaw,TF,TF,14,3,12,2,Mid,18.5,357992.4,509507.9,6.345963
589,228279,Gustavia,hexapetala,Gustavia_hexapetala,Kaw,TF,TF,15,2,13,2,Mid,19.7,357980.2,509509.3,6.345963
590,228529,Gustavia,hexapetala,Gustavia_hexapetala,Kaw,TF,TF,18,4,13,2,Inf,25.9,357945.1,509476.3,6.345963
591,228580,Eschweilera,coriacea,Eschweilera_coriacea,Kaw,TF,Generalist,14,4,12,3,Inf,18.8,357929.5,509475.8,5.748245
592,228337,Eschweilera,coriacea,Eschweilera_coriacea,Kaw,TF,Generalist,12,2,7,2,Inf,12.6,357972.2,509506.6,6.345963
593,228578,Eschweilera,coriacea,Eschweilera_coriacea,Kaw,TF,Generalist,18,4,8,3,Inf,22.1,357933.7,509473.3,5.748245
594,228374,Virola,michelii,Virola_michelii,Kaw,TF,Generalist,8,2,6,2,Inf,21.7,357963.6,509503.3,6.345963
595,228344,Eschweilera,coriacea,Eschweilera_coriacea,Kaw,TF,Generalist,13,4,8,3,Inf,15.3,357956.4,509515,6.345963
596,228576,Eschweilera,coriacea,Eschweilera_coriacea,Kaw,TF,Generalist,23,4,16,3,Inf,34.9,357941.3,509470.7,6.345963
597,228575,Eschweilera,coriacea,Eschweilera_coriacea,Kaw,TF,Generalist,14,3,11,3,Mid,13.8,357941.6,509468.3,6.345963
598,228574,Eschweilera,coriacea,Eschweilera_coriacea,Kaw,TF,Generalist,14,2,8,2,Inf,10.3,357944.7,509465.2,6.345963
599,228608,Eschweilera,coriacea,Eschweilera_coriacea,Kaw,TF,Generalist,24,2,10,3,Inf,20.4,357938.4,509465.3,5.748245
600,228495,Virola,michelii,Virola_michelii,Kaw,TF,Generalist,13,3,8,3,Mid,18.1,357937.2,509487.1,5.748245
601,,Hymenopus,heteromorphus,Hymenopus_heteromorphus,Kaw,BF,Generalist,13,4,10,3,Inf,25,355580.47,521587.88,8.813516
602,,Hymenopus,heteromorphus,Hymenopus_heteromorphus,Kaw,BF,Generalist,18,4,15,3,Mid,25,355554.52,521593.91,8.813516
603,,Protium,opacum subsp. rabelianum,Protium_opacum subsp. rabelianum,Kaw,BF,BF,19,4,16,2,Inf,36,355569.09,521615.32,8.813516
604,,Hymenopus,heteromorphus,Hymenopus_heteromorphus,Kaw,BF,Generalist,17,4,15,3,Mid,20,355559.39,521587.48,8.813516
605,,Symphonia,globulifera,Symphonia_globulifera,Kaw,BF,BF,20,5,18,5,Sup,25,355557.72,521585.6,8.813516
606,,Protium,opacum subsp. rabelianum,Protium_opacum subsp. rabelianum,Kaw,BF,BF,12,4,8,4,Mid,15.5,355606.79,521605.41,9.580924
607,,Carapa,guianensis,Carapa_guianensis,Kaw,BF,BF,12,5,12,5,Sup,17.5,355615.43,521595.45,9.580924
608,,Carapa,guianensis,Carapa_guianensis,Kaw,BF,BF,34,5,15,3,Inf,53,355599.91,521598.91,8.813516
609,,Carapa,guianensis,Carapa_guianensis,Kaw,BF,BF,25,5,20,5,Inf,48,355612.2,521592.14,9.580924
610,,Symphonia,globulifera,Symphonia_globulifera,Kaw,BF,BF,35,5,30,5,Sup,40,355632.96,521599.17,9.580924
611,,Symphonia,globulifera,Symphonia_globulifera,Kaw,BF,BF,24,5,20,5,Inf,49,357834.42,521518.91,9.898855
612,,Symphonia,globulifera,Symphonia_globulifera,Kaw,BF,BF,27,5,20,5,Mid,59,357835.42,521518.91,9.898855
613,,Symphonia,globulifera,Symphonia_globulifera,Kaw,BF,BF,23,5,21,4,Inf,50,357836.42,521518.91,9.898855
614,,Pterocarpus,officinalis,Pterocarpus_officinalis,Kaw,BF,BF,9,4,9,4,Sup,23.9,353580.68,524240.17,11.116259
615,,Pterocarpus,officinalis,Pterocarpus_officinalis,Kaw,BF,BF,12,4,9,3,Mid,11.6,353575.71,524251.13,11.116259
616,,Carapa,guianensis,Carapa_guianensis,Kaw,BF,BF,20,5,20,4,Sup,37.4,353576.24,524242.06,11.116259
617,,Pterocarpus,officinalis,Pterocarpus_officinalis,Kaw,BF,BF,13,5,13,4,Sup,13.1,353578.36,524248.36,11.116259
618,,Pterocarpus,officinalis,Pterocarpus_officinalis,Kaw,BF,BF,18,5,18,4,Sup,22.9,353571.7,524243.73,11.116259
619,,Pterocarpus,officinalis,Pterocarpus_officinalis,Kaw,BF,BF,14,2,14,2,Mid,17.2,353565.04,524242.63,11.116259
620,,Pterocarpus,officinalis,Pterocarpus_officinalis,Kaw,BF,BF,,,,,,11.5,353571.69,524238.31,11.116259
