Calibration_Date,Contamination_Level,Date_Field,idTree,Plot,Subplot,Field_Nr,Species_Name,Code,idLeaf,Leaf_Health_Status,Leaf_Pheno_Status,Density_Section_Veins,Date_measure,User_initial,idVapro,Nr_Cycle,Nr_Run,C0,Comment,Posmo,Ptlp
04/03/2021,5,03/03/2021,15582,3,44,17,Esc.cor,305,1,healthy,mature,ok,04/03/2021,PM,2,1,5,378,NA,-0.9450000000000001,-1.420055
04/03/2021,5,03/03/2021,15586,3,44,24,Vir.mic,306,1,healthy,mature,ok,04/03/2021,PM,2,1,8,516,NA,-1.29,-1.69571
04/03/2021,5,03/03/2021,42419,3,37,50,Vir.mic,307,1,healthy,mature,ok,04/03/2021,PM,2,1,5,438,NA,-1.095,-1.539905
04/03/2021,5,03/03/2021,42426,3,37,57,Iry.hos,308,1,healthy,mature,ok,04/03/2021,PM,2,1,8,352,NA,-0.88,-1.3681200000000002
04/03/2021,5,03/03/2021,4636,3,37,13,Esc.cor,309,1,healthy,mature,ok,04/03/2021,PM,2,1,10,357,NA,-0.8925000000000001,-1.3781075
04/03/2021,5,03/03/2021,4632,3,37,3,Esc.cor,310,1,healthy,mature,ok,04/03/2021,PM,2,1,8,421,NA,-1.0525,-1.5059475
04/03/2021,5,03/03/2021,3475,3,37,17,Lae.pro,311,1,healthy,mature,ok,04/03/2021,PM,2,1,9,720,NA,-1.8,-2.1032
04/03/2021,5,03/03/2021,15532,3,36,27,Hym.het,312,1,healthy,mature,ok,04/03/2021,PM,2,1,4,502,NA,-1.2550000000000001,-1.6677450000000003
04/03/2021,5,04/03/2021,4556,3,21,1,Hym.het,313,1,healthy,mature,Ok,05/03/2021,PM,2,1,4,439,NA,-1.0975,-1.5419025
04/03/2021,5,04/03/2021,5095,3,45,10,Esc.cor,314,1,healthy,mature,Ok,05/03/2021,PM,2,1,6,441,NA,-1.1025,-1.5458975000000001
04/03/2021,5,04/03/2021,3466,3,36,17,Esc.cor,315,1,healthy,mature,Ok,05/03/2021,PM,2,1,6,388,NA,-0.97,-1.4400300000000001
04/03/2021,5,04/03/2021,41772,3,20,49,Vir.mic,316,1,herbivory,mature,Ok,05/03/2021,PM,2,1,4,340,NA,-0.85,-1.34415
04/03/2021,5,04/03/2021,41790,3,21,78,Chr.pri,317,1,herbivory,mature,Ok,05/03/2021,PM,2,1,6,575,NA,-1.4375,-1.8135625000000002
04/03/2021,5,04/03/2021,3258,3,21,3,Lae.pro,318,2,herbivory,mature,Ok,05/03/2021,CS,2,1,9,677,NA,-1.6925000000000001,-2.0173075000000003
04/03/2021,5,04/03/2021,15386,3,15,32,Lic.mem,319,1,herbivory,mature,Ok,05/03/2021,PM,2,1,5,681,NA,-1.7025000000000001,-2.0252975
04/03/2021,5,04/03/2021,4518,3,14,2,Jac.cop,320,1,epiphytes,mature,Ok,05/03/2021,PM,2,1,10,401,NA(=5),-1.0025,-1.4659975
04/03/2021,5,04/03/2021,41539,3,14,35,Tac.mel,321,1,herbivory,mature,Ok,05/03/2021,PM,2,1,5,649,NA,-1.6225,-1.9613775000000002
04/03/2021,5,04/03/2021,3060,3,6,8,Tac.mel,322,1,healthy,mature,Ok,05/03/2021,PM,2,1,7,515,NA,-1.2875,-1.6937125000000002
04/03/2021,5,04/03/2021,NA,3,14,NA,Tac.mel,323,1,healthy,mature,Ok,05/03/2021,PM,2,1,5,540,NA,-1.35,-1.7436500000000001
04/03/2021,5,04/03/2021,15309,3,6,17,Chr.pri,324,1,healthy,mature,Ok,05/03/2021,PM,2,1,5,723,NA,-1.8075,-2.1091925000000002
04/03/2021,5,04/03/2021,15322,3,8,27,Pro.ste,325,1,healthy,mature,Ok,05/03/2021,PM,2,1,4,776,NA,-1.94,-2.2150600000000003
04/03/2021,5,04/03/2021,3096,3,8,15,Pro.ste,326,1,healthy,mature,Ok,05/03/2021,PM,2,1,5,900,NA,-2.25,-2.46275
04/03/2021,5,04/03/2021,15326,3,8,31,Vir.mic,327,1,healthy,mature,Ok,05/03/2021,PM,2,1,4,677,NA,-1.6925000000000001,-2.0173075000000003
04/03/2021,5,04/03/2021,41941,3,24,68,Gus.hex,328,1,healthy,mature,Ok,05/03/2021,PM,2,1,4,678,NA,-1.695,-2.019305
04/03/2021,5,05/03/2021,26512,5,58,2,Vir.sur,329,1,healthy,mature,ok,06/03/2021,MB,2,1,5,362,NA,-0.905,-1.388095
04/03/2021,5,05/03/2021,26510,5,57,57,Chr.pri,330,1,healthy,mature,ok,06/03/2021,MB,2,1,3,629,NA,-1.5725,-1.9214275
04/03/2021,5,05/03/2021,26207,5,48,30,Vir.sur,331,1,healthy,mature,ok,06/03/2021,MB,2,1,7,565,NA,-1.4125,-1.7935875000000001
04/03/2021,5,05/03/2021,25882,5,38,4,Pte.off,332,1,healthy,mature,ok,06/03/2021,MB,2,1,3,442,NA,-1.105,-1.547895
04/03/2021,5,05/03/2021,25869,5,37,15,Iry.hos,333,1,healthy,mature,ok,06/03/2021,MB,2,1,8,381,NA,-0.9525,-1.4260475000000001
04/03/2021,5,05/03/2021,25857,5,37,2,Sym.glo,334,1,healthy,mature,ok,06/03/2021,MB,2,1,8,491,NA,-1.2275,-1.6457725
04/03/2021,5,05/03/2021,26196,5,48,9,Pte.off,335,1,healthy,mature,ok,06/03/2021,MB,2,1,6,452,NA,-1.1300000000000001,-1.56787
04/03/2021,5,05/03/2021,26197,5,48,11,Sym.glo,336,1,healthy,mature,ok,06/03/2021,MB,2,1,7,434,NA,-1.085,-1.5319150000000001
04/03/2021,5,05/03/2021,26235,5,49,20,Sym.glo,337,1,healthy,mature,ok,06/03/2021,MB,2,1,8,431,NA,-1.0775000000000001,-1.5259225
04/03/2021,5,05/03/2021,26224,5,49,9,Pte.off,338,1,healthy,mature,ok,06/03/2021,MB,2,1,7,604,NA,-1.51,-1.87149
04/03/2021,5,05/03/2021,26221,5,49,6,Vir.sur,339,1,healthy,mature,ok,06/03/2021,MB,2,1,9,463,NA,-1.1575,-1.5898425
04/03/2021,5,05/03/2021,26562,5,60,32,Tac.mel,340,1,healthy,mature,ok,06/03/2021,MB,2,1,5,521,NA,-1.3025,-1.7056975
04/03/2021,5,05/03/2021,26555,5,60,19,Pte.off,341,1,healthy,mature,ok,06/03/2021,MB,2,1,6,488,NA,-1.22,-1.63978
04/03/2021,5,05/03/2021,26257,5,50,43,Pte.off,342,1,healthy,mature,ok,06/03/2021,MB,2,1,8,386,NA,-0.965,-1.436035
04/03/2021,5,05/03/2021,25945,5,40,7,Lae.pro,343,1,healthy,mature,ok,06/03/2021,MB,2,1,9,574,NA,-1.435,-1.811565
04/03/2021,5,05/03/2021,26245,5,50,12,Lae.pro,344,1,healthy,mature,ok,06/03/2021,MB,2,1,9,587,NA,-1.4675,-1.8375325
04/03/2021,5,05/03/2021,26247,5,50,15,Vir.sur,345,1,healthy,mature,ok,06/03/2021,MB,2,1,10,599,NA,-1.4975,-1.8615025
04/03/2021,5,05/03/2021,26228,5,49,13,Sym.glo,346,1,healthy,mature,ok,06/03/2021,MB,2,1,7,553,NA,-1.3825,-1.7696175
04/03/2021,5,05/03/2021,25915,5,39,8,Sym.glo,347,1,healthy,mature,ok,06/03/2021,MB,2,1,9,509,NA,-1.2725,-1.6817275
04/03/2021,5,05/03/2021,25929,5,39,39,Pte.off,348,1,healthy,mature,ok,06/03/2021,MB,2,1,4,498,NA,-1.245,-1.659755
04/03/2021,5,05/03/2021,26218,5,49,3,Sym.glo,349,1,healthy,mature,ok,06/03/2021,MB,2,1,8,529,NA,-1.3225,-1.7216775000000002
07/03/2021,15,08/03/2021,33274,2,5,38,Vou.ame,351,1,healthy,mature,ok,09/03/2021,PM,2,1,5,597,NA,-1.4925,-1.8575075
07/03/2021,15,08/03/2021,840,2,5,17,Dic.gui,352,1,healthy,mature,ok,09/03/2021,PM,2,1,4,321,NA,-0.8025,-1.3061975000000001
07/03/2021,15,08/03/2021,10608,2,6,24,Vou.ame,353,1,healthy,mature,ok,09/03/2021,PM,2,1,8,491,NA,-1.2275,-1.6457725
07/03/2021,15,08/03/2021,848,2,6,10,Vir.mic,354,1,healthy,mature,ok,09/03/2021,PM,2,1,8,408,NA,-1.02,-1.47998
07/03/2021,15,08/03/2021,34450,2,14,41,Con.gui,355,1,epiphytes,mature,ok,09/03/2021,PM,2,1,8,704,poilu,-1.76,-2.0712400000000004
07/03/2021,15,08/03/2021,10660,2,14,23,Iry.sag,356,1,healthy,mature,ok,09/03/2021,PM,2,1,8,391,NA,-0.9775,-1.4460225000000002
07/03/2021,15,08/03/2021,33463,2,15,36,Gus.hex,357,1,healthy,mature,ok,09/03/2021,PM,2,1,6,639,NA,-1.5975000000000001,-1.9414025000000001
07/03/2021,15,08/03/2021,852,2,6,15,Vou.ame,358,1,healthy,mature,ok,09/03/2021,PM,2,1,4,539,NA,-1.3475,-1.7416525
07/03/2021,15,08/03/2021,820,2,4,9,Con.gui,359,1,healthy,mature,ok,09/03/2021,PM,2,1,10,501,NA,-1.2525,-1.6657475
07/03/2021,15,08/03/2021,783,2,2,10,Boc.pro,360,1,herbivory,mature,ok,09/03/2021,PM,2,1,3,445,NA,-1.1125,-1.5538875
07/03/2021,15,08/03/2021,3826,2,3,9,Vir.mic,361,1,healthy,mature,ok,09/03/2021,PM,2,1,5,484,NA,-1.21,-1.63179
07/03/2021,15,08/03/2021,33255,2,3,48,Iry.sag,362,1,healthy,mature,ok,09/03/2021,PM,2,1,8,487,NA,-1.2175,-1.6377825000000001
07/03/2021,15,08/03/2021,246162,2,3,66,Cas.jav,363,2,healthy,mature,ok,09/03/2021,PM,2,1,10,569,NA,-1.4225,-1.8015775000000003
07/03/2021,15,08/03/2021,925,2,10,24,Vou.ame,364,1,healthy,mature,ok,09/03/2021,PM,2,1,4,591,NA,-1.4775,-1.8455225000000002
07/03/2021,15,08/03/2021,908,2,10,1,Boc.pro,365,1,healthy,mature,ok,09/03/2021,PM,2,1,7,333,NA,-0.8325,-1.3301675
07/03/2021,15,08/03/2021,33221,2,1,45,Vou.ame,366,1,healthy,mature,ok,09/03/2021,PM,2,1,4,582,NA,-1.455,-1.8275450000000002
08/03/2021,15,09/03/2021,911,2,10,5,Vir.mic,367,1,healthy,mature,ok,10/03/2021,MB,2,1,3,427,NA,-1.0675000000000001,-1.5179325000000001
08/03/2021,15,09/03/2021,10635,2,10,29,Chr.pri,368,1,healthy,mature,ok,10/03/2021,MB,2,1,7,650,NA,-1.625,-1.963375
08/03/2021,15,09/03/2021,33521,2,18,46,Gus.hex,369,1,healthy,mature,ok,10/03/2021,MB,2,1,5,537,NA,-1.3425,-1.7376575
08/03/2021,15,09/03/2021,33527,2,18,52,Gus.hex,370,1,healthy,mature,ok,10/03/2021,MB,2,1,3,636,NA,-1.59,-1.93541
08/03/2021,15,09/03/2021,1074,2,19,23,Jac.cop,371,2,healthy,mature,ok,10/03/2021,MB,2,1,10,349,NA,-0.8725,-1.3621275000000002
08/03/2021,15,09/03/2021,1073,2,19,22,Boc.pro,372,1,healthy,mature,ok,10/03/2021,MB,2,1,3,378,NA,-0.9450000000000001,-1.420055
08/03/2021,15,09/03/2021,1082,2,20,9,Boc.pro,373,1,healthy,mature,ok,10/03/2021,MB,2,1,6,545,"bizarre, très différent du précédent, même espèce pourtant",-1.3625,-1.7536375000000002
08/03/2021,15,09/03/2021,33661,2,27,49,Chr.pri,374,1,healthy,mature,ok,10/03/2021,MB,2,1,5,604,NA,-1.51,-1.87149
08/03/2021,15,09/03/2021,1061,2,19,9,Vir.mic,375,1,healthy,mature,ok,10/03/2021,MB,2,1,5,462,NA,-1.155,-1.5878450000000002
08/03/2021,15,09/03/2021,33692,2,28,51,Chr.pri,376,1,healthy,mature,ok,10/03/2021,MB,2,1,7,695,NA,-1.7375,-2.0532625
08/03/2021,15,09/03/2021,10873,2,44,37,Boc.pro,377,1,herbivory,mature,ok,10/03/2021,MB,2,1,5,392,NA,-0.98,-1.44802
08/03/2021,15,09/03/2021,10818,2,36,24,Vir.mic,378,1,healthy,mature,ok,10/03/2021,MB,2,1,7,537,NA,-1.3425,-1.7376575
08/03/2021,15,09/03/2021,33880,2,37,50,Gus.hex,379,1,healthy,mature,ok,10/03/2021,MB,2,1,4,674,NA,-1.685,-2.011315
08/03/2021,15,09/03/2021,34229,2,52,44,Cas.jav,380,1,healthy,mature,ok,10/03/2021,MB,2,1,10,618,NA,-1.545,-1.8994550000000001
08/03/2021,15,09/03/2021,34016,2,43,33,Vou.ame,381,1,healthy,mature,ok,10/03/2021,MB,2,1,7,597,NA,-1.4925,-1.8575075
08/03/2021,15,09/03/2021,1681,2,51,22,Boc.pro,382,1,healthy,mature,ok,10/03/2021,MB,2,1,5,667,NA,-1.6675,-1.9973325000000002
