Code,idTree,Plot,SubPlot,FieldNbr,Genus,Species,spName,Family,PrefHabitat,Habitat,FW,SW,DW,LSWC,Posmo,Ptlp,mean_Pmidday,FvFm,LA,gmin,TreeHeight,TreeDawkins,BranchHeight,BranchDawkins,Position_Crown,Forest,CodeFTH,Measure,SLA,LT,CC,LDMC,RWC,Xutm,Yutm,DBH,TWI,Leaf area,Midrib VLA,2VLA,3VLA,MajVLA
52,226846,15,4,2803,Hymenopus,heteromorphus,Hymenopus_heteromorphus,Chrysobalanaceae,Generalist,BF,0.659,0.674,0.317,1.128,-1.06,-1.512,,0.813,37.423,2.77,15,4,12,3,Mid,Paracou,,,,,,,,,,,,41.16433194,0.259843533,1.448850755,5.02469639,6.733390678
53,149005,15,4,302,Bocoa,prouacensis,Bocoa_prouacensis,Fabaceae,Generalist,BF,1.791,1.818,0.901,1.017,-1.433,-1.81,,0.753,26.762,6.547,15,2,14,3,Sup,Paracou,,,,,,,,,,,,29.74151806,0.273511892,1.387298814,1.277588037,2.938398744
54,249664,6,1,2962,Protium,opacum subsp. rabelianum,Protium_opacum,Burseraceae,BF,BF,0.786,0.787,0.349,1.253,-1.715,-2.035,,0.829,77.768,4.045,14,3,12,3,Sup,Paracou,,,,,,,,,,,,85.18173333,0.204554234,1.337248713,3.456979748,4.998782696
55,101083,6,1,480,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,Bignoniaceae,Generalist,TF,0.441,0.4445,0.1508,1.947612732,,,,0.822,18.25427549,10.8886066,30,5,28,3,Mid,Paracou,,,,,,,,,,,,19.99065833,0.383943828,1.584209441,4.924832881,6.89298615
56,100766,6,1,149,Chrysophyllum,prieurii,Chrysophyllum_prieurii,Sapotaceae,Generalist,TF,2.367,2.412,1.139,1.117,-1.725,-2.043,12.83,0.804,133.868,2.229,24,3,17,3,Mid,Paracou,,,,,,,,,,,,147.7016792,0.138708988,0.684166391,4.367297769,5.190173147
57,100765,6,1,148,Conceveiba,guianensis,Conceveiba_guianensis,Euphorbiaceae,Generalist,TF,1.486,1.498,0.684,1.189,-1.285,-1.692,,0.82,91.057,2.443,15,2,14,3,Sup,Paracou,,,,,,,,,,,,99.48084028,0.158223386,0.601873459,2.545327518,3.305424363
58,,,,,,,NA,,,,,,,,,,,,,,,,,,,Paracou,,,,,,,,,,,,,,,,
59,,,,,,,NA,,,,,,,,,,,,,,,,,,,Paracou,,,,,,,,,,,,,,,,
60,205758,6,2,2955,Conceveiba,guianensis,Conceveiba_guianensis,Euphorbiaceae,Generalist,BF,1.573,1.606,0.687,1.338,-1.565,-1.915,11.793,0.778,120.531,1.634,21,2,18,3,Mid,Paracou,,,,,,,,,,,,131.8246472,0.138633933,0.514938015,1.670397421,2.323969369
61,102799,6,2,2866,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,Bignoniaceae,Generalist,TF,0.532,0.556,0.152,2.65,-0.923,-1.402,,0.777,28.136,2.664,16,3,16,3,Sup,Paracou,,,,,,,,,,,,31.02131528,0.324545275,1.415417382,3.8380024,5.577965056
62,102878,6,3,75,Chrysophyllum,prieurii,Chrysophyllum_prieurii,Sapotaceae,Generalist,TF,1.83,1.904,0.949,1.007,-2.12,-2.359,14.213,0.834,81.332,3.756,32,4,30,4,Sup,Paracou,,,,,,,,,,,,88.808325,0.186187695,1.036178233,5.640520247,6.862886175
63,103035,6,3,236,Bocoa,prouacensis,Bocoa_prouacensis,Fabaceae,Generalist,TF,1.251,1.22,0.57,1.141,-1.285,-1.692,11.657,0.823,74.254,3.074,16,3,14,3,Mid,Paracou,,,,,,,,,,,,81.64494028,0.206363093,0.812842732,1.059612334,2.078818159
64,205745,6,1,2924,Symphonia,globulifera,Symphonia_globulifera,Clusiaceae,BF,BF,1.778,1.797,0.549,2.275,-1.038,-1.494,8.633,0.811,80.433,2.801,12,4,10,3,Mid,Paracou,,,,,,,,,,,,88.61945556,0.216572197,2.019380744,0.688402905,2.924355845
65,179841,6,1,2874,Tachigali,melinonii,Tachigali_melinonii,Fabaceae,Generalist,BF,0.412,0.417,0.196,1.127,-1.39,-1.776,,0.835,26.457,2.695,24,4,18,3,Inf,Paracou,,,,,,,,,,,,29.55779028,0.327266049,1.335183459,3.537247772,5.19969728
66,101665,6,1,2359,Protium,stevensonii,Protium_stevensonii,Burseraceae,Generalist,BF,0.618,0.644,0.331,0.947,-1.868,-2.157,,0.807,26.171,19.083,18,2,15,3,Inf,Paracou,,,,,,,,,,,,28.74576528,0.451756251,1.695144261,1.139637129,3.286537641
67,101138,6,1,538,Eschweilera,coriacea,Eschweilera_coriacea,Lecythidaceae,Generalist,TF,2.509,2.555,1.212,1.108,-1.113,-1.554,13.837,0.819,39.651,1.25,20,3,16,4,Mid,Paracou,,,,,,,,,,,,43.60554861,0.265666267,1.436958809,4.589516348,6.292141423
68,101016,6,1,405,Bocoa,prouacensis,Bocoa_prouacensis,Fabaceae,Generalist,BF,0.991,0.998,0.285,2.502,-1.45,-1.824,12.703,0.661,55.733,0.859,15,4,13,4,Sup,Paracou,,,,,,,,,,,,61.42335972,0.240342965,1.224630667,1.582899329,3.047872961
69,101485,6,1,890,Tachigali,melinonii,Tachigali_melinonii,Fabaceae,Generalist,BF,0.137,0.139,0.065,1.148,-1.808,-2.109,,0.824,13.453,2.621,35,5,24,3,Inf,Paracou,,,,,,,,,,,,14.84311389,0.568803301,1.940763239,2.998025835,5.507592375
70,103472,6,3,697,Conceveiba,guianensis,Conceveiba_guianensis,Euphorbiaceae,Generalist,BF,3.913,4.005,1.635,1.45,-1.113,-1.554,3.25,0.824,86.717,3.715,12,2,11,3,Mid,Paracou,,,,,,,,,,,,94.79389444,0.164112484,0.593329525,3.056710837,3.814152846
71,103306,6,3,521,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,Bignoniaceae,Generalist,TF,0.6126,0.6265,0.2234,1.80438675,,,12.06666667,0.799,15.5867405,3.624839998,32,4,28,3,Mid,Paracou,,,,,,,,,,,,17.14698333,0.424135451,1.480993373,4.065846443,5.970975267
72,104032,6,4,105,Conceveiba,guianensis,Conceveiba_guianensis,Euphorbiaceae,Generalist,BF,0.789,0.754,0.301,1.501,-1.28,-1.688,,0.819,106.653,1.632,12,2,10,3,Mid,Paracou,,,,,,,,,,,,116.7509,0.146079027,0.580538952,2.210701136,2.937319115
73,104806,6,4,2803,Carapa,surinamensis,Carapa_surinamensis,Meliaceae,BF,BF,2.004,1.955,0.816,1.396,-1.338,-1.734,,0.824,84.13,3.171,14,2,12,3,Mid,Paracou,,,,,,,,,,,,91.46840556,0.182658294,0.796328994,1.756210413,2.735197702
74,102971,6,3,171,Licania,membranacea,Licania_membranacea,Chrysobalanaceae,TF,TF,1.18,1.239,0.481,1.578,-1.595,-1.939,,0.793,95.351,3.702,22,3,20,3,Mid,Paracou,,,,,,,,,,,,108.6667361,0.181806864,0.707489312,3.094582708,3.983878885
75,103117,6,3,324,Bocoa,prouacensis,Bocoa_prouacensis,Fabaceae,Generalist,BF,1.264,1.273,0.593,1.147,-1.253,-1.666,19.798,0.818,70.731,2.339,19,3,17,3,Mid,Paracou,,,,,,,,,,,,77.93889861,0.172988807,0.935209114,0.944361645,2.052559566
76,103259,6,3,473,Eschweilera,coriacea,Eschweilera_coriacea,Lecythidaceae,Generalist,BF,1.658,1.702,0.836,1.035,-1.423,-1.802,15.038,0.818,124.204,1.357,18,3,18,4,Sup,Paracou,,,,,,,,,,,,138.3153167,0.16028206,0.979902062,3.143336146,4.283520267
77,103275,6,3,489,Laetia,procera,Laetia_procera,Salicaceae,BF,BF,2.401,2.431,0.942,1.58,-1.523,-1.881,7.413,0.83,57.994,1.594,32,5,24,3,Inf,Paracou,,,,,,,,,,,,63.62880417,0.211595752,1.291209275,5.467983425,6.970788453
78,103288,6,3,502,Carapa,surinamensis,Carapa_surinamensis,Meliaceae,BF,BF,3.153,3.204,1.37,1.339,-1.35,-1.744,14.433,0.827,188.912,1.959,26,4,21,3,Inf,Paracou,,,,,,,,,,,,187.3585635,0.145926839,0.660514187,0.689533398,1.495974424
79,103499,6,3,726,Jacaranda,copaia subsp. copaia,Jacaranda_copaia subsp. copaia,Bignoniaceae,Generalist,TF,0.235,0.236,0.066,2.597,-0.858,-1.35,10,0.829,15.472,3.193,17,2,14,3,Inf,Paracou,,,,,,,,,,,,17.03416111,0.410317053,1.80199693,5.059110492,7.271424474
80,104037,6,4,110,Eschweilera,coriacea,Eschweilera_coriacea,Lecythidaceae,Generalist,BF,2.464,2.494,1.271,0.963,-1.278,-1.686,,0.798,58.824,1.374,30,4,26,3,Inf,Paracou,,,,,,,,,,,,64.70458472,0.242709828,1.278446204,3.185407646,4.706563677
81,104123,6,4,196,Eschweilera,coriacea,Eschweilera_coriacea,Lecythidaceae,Generalist,BF,1.548,1.532,0.714,1.144,-1.248,-1.662,,0.823,43.88,1.247,15,3,15,3,Sup,Paracou,,,,,,,,,,,,47.99500972,0.304938256,1.698575076,4.226253502,6.229766835
82,104116,6,4,189,Conceveiba,guianensis,Conceveiba_guianensis,Euphorbiaceae,Generalist,BF,0.987,0.961,0.397,1.424,-1.565,-1.915,,0.834,76.341,2.071,14,2,14,3,Sup,Paracou,,,,,,,,,,,,83.24171944,0.202156371,0.693807037,2.042346726,2.938310135
83,104783,6,4,2351,Eschweilera,coriacea,Eschweilera_coriacea,Lecythidaceae,Generalist,BF,1.393,1.385,0.509,1.721,-0.988,-1.454,,0.769,41.315,2.982,14,2,10,3,Sup,Paracou,,,,,,,,,,,,45.9689625,0.304145189,1.379469725,5.801830543,7.485445457
84,236720,6,4,2969,Conceveiba,guianensis,Conceveiba_guianensis,Euphorbiaceae,Generalist,BF,1.423,1.419,0.602,1.359,-1.445,-1.82,,0.819,133.903,1.448,12,3,12,3,Sup,Paracou,,,,,,,,,,,,146.6320889,0.135349976,0.455780076,2.062308339,2.653438391
85,104225,6,4,298,Eperua,falcata,Eperua_falcata,Fabaceae,BF,BF,0.839,0.842,0.36,1.341,-1.29,-1.696,,0.761,58.866,1.365,30,4,15,3,Inf,Paracou,,,,,,,,,,,,64.45960556,0.229096548,1.628124035,3.683970977,5.541191559
86,104374,6,4,450,Chrysophyllum,prieurii,Chrysophyllum_prieurii,Sapotaceae,Generalist,TF,,,0.283,,-1.555,-1.907,,0.734,176.596,6.294,18,2,16,2,Mid,Paracou,,,,,,,,,,,,192.6860319,0.123840522,0.617156415,2.467864537,3.208861474
87,104726,6,4,2050,Protium,stevensonii,Protium_stevensonii,Burseraceae,Generalist,TF,0.633,0.633,,,-1.77,-2.079,,0.822,34.981,14.727,20,3,16,3,Inf,Paracou,,,,,,,,,,,,38.73896944,0.245911161,1.241990959,4.151390511,5.639292631
88,203357,6,4,2930,Virola,michelii,Virola_michelii,Myristicaceae,Generalist,TF,0.76,0.766,0.3,1.55,-1.325,-1.724,,0.815,51.2,2.613,12,2,11,3,Mid,Paracou,,,,,,,,,,,,56.43594444,0.342616665,1.67134795,5.746271819,7.760236434
89,178762,6,4,2895,Eschweilera,coriacea,Eschweilera_coriacea,Lecythidaceae,Generalist,TF,0.971,0.981,0.348,1.816,-1.158,-1.59,,0.814,59.673,1.097,12,3,10,3,Mid,Paracou,,,,,,,,,,,,65.44369583,0.248269286,1.223128198,6.316828322,7.788225806
