Code,FW,SW,DW,LSWC
221,1.3216999999999999,1.3676,0.5544,1.4668109668109666
222,1.7405999999999997,1.7914,0.8188,1.187835857352223
223,0.6801000000000004,0.6803,0.2265,2.003532008830022
224,0.8338000000000001,0.8536,0.3984,1.1425702811244982
225,0.7126999999999999,0.7168,0.3389,1.1150781941575687
226,0.883,0.912,0.3317,1.7494724148326803
227,0.8519000000000005,0.8763,0.3382,1.591070372560615
228,1.7705000000000002,1.8049,0.6279,1.874502309284918
229,0.6350000000000007,0.6546,0.2314,1.828867761452031
230,0.6575999999999995,0.4986,0.2362,1.1109229466553767
231,1.5067000000000004,1.534,0.5927,1.5881558967437153
232,1.2956999999999992,1.2344,0.3994,2.0906359539308963
233,3.3748999999999993,3.42,1.3208,1.5893397940642033
234,8.504000000000001,8.5441,3.6817,1.3206942445066137
235,1.6117000000000008,1.6675,0.7548,1.2091944886062531
236,0.4001000000000001,0.3995,0.1295,2.084942084942085
237,2.7902999999999993,2.8687,1.2347,1.3233983963715885
238,0.36129999999999995,0.3698,0.1722,1.1475029036004647
239,0.9150999999999998,0.9262,0.4341,1.1336097673347156
240,2.5833999999999993,2.6292,1.208,1.1764900662251656
241,0.6337000000000002,0.6405,0.2395,1.674321503131524
242,1.3346999999999998,1.339,0.637,1.1020408163265305
243,3.5782000000000007,3.6653,1.6388,1.2365755430803023
244,0.4129000000000005,0.4159,0.1898,1.1912539515279241
