Code,idTree,RWCnr_myData,spName_CorrBota,LSWC_E.per,RWC_E.per,My_LSWC_E.per_corr,My_RWC_E.per_corr,posm,ptlp,gmin.my.function,gmin_manual_Clement,Name_Project
167,143877,M167,Eschweilera_coriacea,1.138.375,955.439,1.138.375,955.439,-1.21,-1.632,82.937.435,942,Metradica
168,144204,M168,Jacaranda_copaia subsp. copaia,1.280.143,95.959,1.280.143,95.959,-1.07,-1.52,3.294.511.586,3.639,Metradica
169,144207,M169,Tachigali_melinonii,1.274.098,930.262,1.274.098,930.262,-1.378,-1.766,1.681.390.084,1.818,Metradica
170,144835,M170,Iryanthera_sagotiana,1.642.501,993.227,1.642.501,993.227,-1.163,-1.594,1.109.940.818,0.74,Metradica
171,140725,M171,Hymenopus_heteromorphus,1.323.127,1.033.215,1.323.127,NA,-0.92,-1.4,3.685.553.487,3.702,Metradica
172,141137,M172,Conceveiba_guianensis,1.079.081,988.489,1.079.081,988.489,-1.483,-1.85,2.798.421.132,1.619,Metradica
173,141103,M173,Hymenopus_heteromorphus,1.490.107,994.127,1.490.107,994.127,-1.033,-1.49,3.248.185.579,3.262,Metradica
174,205811,M174,Jacaranda_copaia subsp. copaia,124.633,1.010.182,124.633,100,NA,NA,4.527.504.813,5.233.856.933,Metradica
175,144269,M175,Dicorynia_guianensis,1.569.881,964.573,1.569.881,964.573,-0.99,-1.456,2.957.425.209,2.982,Metradica
176,138115,M176,Conceveiba_guianensis,1.632.007,1.024.276,1.632.007,NA,-1.56,-1.911,1.500.243.929,1.332,Metradica
177,128304,M177,Jacaranda_copaia subsp. copaia,2.057.091,968.062,2.057.091,968.062,-1.453,-1.826,6.102.134.508,6.668,Metradica
178,131244,M178,Pterocarpus_officinalis,2.092.991,95.557,2.092.991,95.557,-0.93,-1.408,4.398.400.775,4.401,Metradica
179,226979,M179,Hymenopus_heteromorphus,122.643,991.147,122.643,991.147,-0.87,-1.36,2.425.457.653,2.451,Metradica
180,226634,M180,Jacaranda_copaia subsp. copaia,1.410.851,945.464,1.410.851,945.464,NA,NA,4.867.126.298,5.570.758.614,Metradica
181,130974,M181,Hymenopus_heteromorphus,1.438.854,989.535,1.438.854,989.535,-1.078,-1.526,3.340.907.455,4.563,Metradica
182,131011,M182,Pterocarpus_officinalis,2.802.897,993.035,2.802.897,993.035,-1.19,-1.616,1.875.348.864,1.919,Metradica
183,127971,M183,Conceveiba_guianensis,1.166.853,973.728,1.166.853,973.728,-1.22,-1.64,1.778.076.386,1.82,Metradica
184,127386,M184,Poraqueiba_guianensis,1.167.065,982.683,1.167.065,982.683,-1.503,-1.865,6.985.860.637,7.232,Metradica
185,141112,M185,Hymenopus_heteromorphus,1.498.935,978.693,1.498.935,978.693,-1.078,-1.526,3.147.221.823,3.161,Metradica
186,226623,M186,Jacaranda_copaia subsp. copaia,1.466.009,1.008.001,1.466.009,100,-0.89,-1.376,566.472.698,5.886,Metradica
187,184588,M187,Jacaranda_copaia subsp. copaia,1.573.353,998.097,1.573.353,998.097,-1.005,-1.468,434.894.351,4.973,Metradica
188,130578,M188,Jacaranda_copaia subsp. copaia,1.765.152,989.884,1.765.152,989.884,-1.075,-1.524,1.301.600.874,2.027,Metradica
189,129933,M189,Virola_michelii,1.247.359,924.338,1.247.359,924.338,-1.715,-2.035,1.862.620.026,1.828,Metradica
190,130118,M190,Virola_michelii,130.519,984.607,130.519,984.607,-1.703,-2.025,3.232.030.495,3.27,Metradica
191,129381,M191,Poraqueiba_guianensis,1.406.373,96.824,1.406.373,96.824,-1.485,-1.852,980.470.844,989,Metradica
192,130018,M192,Jacaranda_copaia subsp. copaia,1.890.049,984.536,1.890.049,984.536,-728,-1.246,6.077.280.697,8.451,Metradica
193,129031,M193,Virola_michelii,1.475.944,996.415,1.475.944,996.415,-1.325,-1.724,2.687.640.967,1.074,Metradica
194,128754,M194,Tachigali_melinonii,1.098.284,980.114,1.098.284,980.114,-1.97,-2.239,2.583.294.015,2.789,Metradica
195,128369,M195,Conceveiba_guianensis,1.050.102,968.841,1.050.102,968.841,-1.245,-1.66,1.068.306.864,1.224,Metradica
196,137892,M196,Hymenopus_heteromorphus,1.129.451,1.101.406,1.129.451,NA,-998,-1.462,1.666.198.502,1.673,Metradica
197,138966,M197,Protium_opacum subsp. rabelianum,1.142.909,935.401,1.142.909,935.401,-2.008,-2.269,8.865.340.745,8.051,Metradica
198,140467,M198,Hymenopus_heteromorphus,1.152.944,986.667,1.152.944,986.667,-1.13,-1.568,2.303.375.922,2.449,Metradica
199,140512,M199,Bocoa_prouacensis,1.379.145,1.008.542,1.379.145,100,-1.255,-1.668,1.499.791.113,1.506,Metradica
200,138434,M200,Hymenopus_heteromorphus,1.275.259,989.083,1.275.259,989.083,-998,-1.462,2.399.764.678,2.544,Metradica
201,137902,M201,Eperua_falcata,122.716,96.321,122.716,96.321,-1.653,-1.985,981.097.642,1.13,Metradica
202,138104,M202,Eperua_falcata,1.567.324,983.436,1.567.324,983.436,-1.345,-1.74,989.935.199,1.005,Metradica
203,138158,M203,Eschweilera_coriacea,1.721.585,981.137,1.721.585,981.137,-1.34,-1.736,1.394.340.195,1.402,Metradica
204,138157,M204,Laetia_procera,1.442.341,971.957,1.442.341,971.957,-1.465,-1.836,3.711.667.767,4.044,Metradica
205,138138,M205,Iryanthera_hostmannii,1.396.641,980.574,1.396.641,980.574,-1.223,-1.642,918.916.704,1.007,Metradica
206,138128,M206,Carapa_surinamensis,1.486.188,935.436,1.486.188,935.436,-1.455,-1.828,1.299.904.716,1.304,Metradica
207,138143,M207,Symphonia_globulifera,2.409.301,97.724,2.409.301,97.724,-1.308,-1.71,1.538.940.326,1.419,Metradica
208,138955,M208,Carapa_surinamensis,1.492.003,939.846,1.492.003,939.846,-1.323,-1.722,1.483.169.481,1.928,Metradica
