Code,spName,midribVLA,SecondaryVLA,TertiaryVLA,MajVLA
149,Pte.off,0.2963099555,1.464117785,2.193809128,3.9542368685
178,Pte.off,0.22723567249999999,0.9653079275,3.083099218,4.275642818
182,Pte.off,0.296633639,1.3638603075,4.8601277425,6.520621689
221,Pte.off,0.2524197505,1.4663645005000001,2.28258273,4.0013669805
226,Pte.off,0.2621498865,1.0609857105,4.955396006,6.278531602999999
227,Pte.off,0.2882519175,1.238995214,2.8500863805,4.3773335115
229,Pte.off,0.241357346,1.213751549,3.9415565205,5.396665416499999
46,Sym.glo,0.31500426299999995,2.273956136,2.5147444290000003,5.103704828
47,Sym.glo,0.3865445215,3.788143279,1.878941876,6.0536296765
64,Sym.glo,0.216572197,2.019380744,0.6884029045,2.9243558455
136,Sym.glo,0.497614153,5.3149894115,2.4460529725,8.258656537
139,Sym.glo,0.3204487715,3.1673313380000003,2.5333709,6.0211510090000004
207,Sym.glo,0.2901420415,2.6957853634999998,1.7530502380000001,4.7389776435
209,Sym.glo,0.37679932,3.3767732935000003,3.1180237285,6.871596342
223,Sym.glo,0.257698944,2.7940570745,2.838728325,5.890484344
228,Sym.glo,0.3748099475,2.5689221145,2.5058873925,5.4496194545000005
232,Sym.glo,0.275237334,3.0916789145,2.3992823029999997,5.7661985515000005
4,Tac.mel,0.5465697764999999,2.538922392,4.256712641,7.34220481
32,Tac.mel,0.4436317105,1.626653764,3.810252603,5.880538078
65,Tac.mel,0.327266049,1.335183459,3.5372477715,5.19969728
69,Tac.mel,0.5688033015,1.9407632384999998,2.998025835,5.507592375
95,Tac.mel,0.4914286755,1.889785552,3.1342071875,5.5154214145000005
115,Tac.mel,0.4096374115,1.7521158505,4.4145624445,6.576315707
141,Tac.mel,0.5904713305,2.0032616705,2.7093868325,5.3031198335
163,Tac.mel,0.6900418610000001,2.2322741855,5.488820456,8.411136503
169,Tac.mel,0.378414045,1.479070485,3.0899800199999996,4.9474645504999994
194,Tac.mel,0.576319429,2.227725585,3.9011674149999997,6.705212428499999
217,Tac.mel,0.661874157,2.076684586,5.7612417535,8.4998004965
219,Tac.mel,0.512012679,2.5040693505,5.491306654,8.5073886835
220,Tac.mel,0.4417800745,1.5285128135,6.058472098999999,8.028764987
230,Tac.mel,0.40026723399999997,1.539754189,4.40594009,6.345961513000001
244,Tac.mel,0.5087408805,2.0635455455000002,5.512682865,8.0849692915
88,Vir.mic,0.34261666550000003,1.6713479494999999,5.746271819,7.7602364345
129,Vir.mic,0.385003576,1.8161548884999998,2.535440275,4.73659874
189,Vir.mic,0.29589732950000003,1.8838509605,4.320344039,6.500092329499999
190,Vir.mic,0.4163105025,2.123851988,3.3560861705000002,5.896248661
193,Vir.mic,0.22977528949999998,1.280254844,3.600907248,5.110937380999999
235,Vir.mic,0.27074846249999995,1.2637453815,3.0896540175,4.624147861
133,Vir.sur,0.495977035,2.6323030775,7.7742702575000004,10.90255037
99,Vou.ame,0.407560097,1.6789343015,5.907814423,7.994308821000001
108,Vou.ame,0.29093254550000003,0.905520992,3.8659602215,5.0624137595
109,Vou.ame,0.3469663895,1.494819482,3.02764358,4.869429452
112,Vou.ame,0.3635367765,1.4086207305,3.8572248055,5.629382312500001
126,Vou.ame,0.35322807050000005,1.275505457,4.3190339705,5.947767498
