Date,Code,spName,idSample,Rec,FVFM,...7
2020-11-12T00:00:00Z,184,Por.gui,P11-C1-896-Por.gui-184,3289,0.809,NA
2020-11-13T00:00:00Z,185,Hym.het,P13-C4-2805-Hym.het-185,3309,0.815,NA
2020-11-12T00:00:00Z,186,Jac.cop,P11-C1-2966-Jac.cop-186,3290,0.831,NA
2020-11-12T00:00:00Z,187,Jac.cop,P11-C4-2905-Jac.cop-187,3291,0.8,NA
2020-11-12T00:00:00Z,188,Jac.cop,P11-C4-567-Jac.cop-188,3292,0.812,NA
2020-11-12T00:00:00Z,189,Vir.mic,P11-C3-1044-Vir.mic-189,3293,0.691,NA
2020-11-12T00:00:00Z,190,Vir.mic,P11-C4-48-Vir.mic-190,3300,0.776,NA
2020-11-12T00:00:00Z,191,Por.gui,P11-C3-468-Por.gui-191,3294,0.803,NA
2020-11-12T00:00:00Z,192,Jac.cop,P11-C3-2301-Jac.cop-192,3295,0.816,NA
2020-11-12T00:00:00Z,193,Vir.mic,P11-C3-103-Vir.mic-193,3296,0.785,NA
2020-11-12T00:00:00Z,194,Tac.mel,P11-C2-1031-Tac.mel-194,3297,0.79,NA
2020-11-12T00:00:00Z,195,Con.gui,P11-C2-628-Con.gui-195,3298,0.807,NA
2020-11-13T00:00:00Z,196,Hym.het,P13-C1-1100-Hym.het-196,3310,0.8,NA
2020-11-16T00:00:00Z,197,Pro.opa,P13-C2-938-Pro.opa-197,3325,0.848,NA
2020-11-13T00:00:00Z,198,Hym.het,P13-C4-406-Hym.het-198,3311,0.815,NA
2020-11-13T00:00:00Z,199,Boc.pro,P13-C4-452-Boc.pro-199,3312,0.762,NA
2020-11-13T00:00:00Z,200,Hym.het,P13-C2-400-Hym.het-200,3313,0.811,NA
2020-11-13T00:00:00Z,201,Epe.fal,P13-C1-1110-Epe.fal-201,3314,0.789,NA
2020-11-13T00:00:00Z,202,Epe.fal,P13-C1-68-Epe.fal-202,3315,0.799,NA
2020-11-13T00:00:00Z,203,Esc.cor,P13-C2-122-Esc.cor-203,3316,0.819,NA
2020-11-13T00:00:00Z,204,Lae.pro,P13-C2-121-Lae.pro-204,3317,0.824,NA
2020-11-13T00:00:00Z,205,Iry.hos,P13-C2-102-Iry.hos-205,3318,0.803,NA
2020-11-13T00:00:00Z,206,Car.sur,P13-C2-92-Car.pro-206,3319,0.821,NA
2020-11-13T00:00:00Z,207,Sym.glo,P13-C2-107-Sym.glo-207,3320,0.747,NA
2020-11-16T00:00:00Z,208,Car.sur,P13-C2-926-Car.sur-208,3326,0.828,NA
2020-11-19T00:00:00Z,209,Sym.glo,P13-C1-782-Sym.glo-209,3445,0.782,NA
2020-11-19T00:00:00Z,210,Chr.pri,P13-C1-514-Chr.pri-210,3446,0.81,NA
2020-11-19T00:00:00Z,211,Con.gui,P13-C1-114-Con.gui-211,3447,0.831,NA
2020-11-19T00:00:00Z,212,Hym.het,P13-C1-408-Hym.het-212,3448,0.801,NA
2020-11-16T00:00:00Z,213,Epe.fal,P13-C2-927-Epe.fal-213,3327,0.817,NA
2020-11-19T00:00:00Z,214,Hym.het,P13-C1-634-Hym.het-214,3449,0.819,NA
2020-11-19T00:00:00Z,215,Hym.het,P13-C1-1100-Hym.het-215,3450,0.821,NA
2020-11-19T00:00:00Z,216,Esc.cor,P13-C1-1075-Esc.cor-216,3451,0.814,NA
2020-12-07T00:00:00Z,217,Tac.mel,P14-C1-2936-Tac.mel-217,3392,0.822,NA
2020-12-07T00:00:00Z,218,Cas.jav,P14-C1-2954-Cas.jav-218,3399,0.806,rec nbr?
2020-12-07T00:00:00Z,219,Tac.mel,P14-C3-118-Tac.mel-219,3393,0.788,NA
2020-12-07T00:00:00Z,220,Tac.mel,P14-C3-2735-Tac.mel-220,3394,0.843,NA
2020-11-16T00:00:00Z,221,Pte.off,P13-C2-720-Pte.off-221,3328,0.804,NA
2020-11-16T00:00:00Z,222,Esc.cor,P13-C2-499-Esc.cor-222,3329,0.759,NA
2020-11-16T00:00:00Z,223,Sym.glo,P13-C2-928-Sym.glo-223,3330,0.811,NA
2020-11-16T00:00:00Z,224,Hym.het,P13-C2-782-Hym.het-224,3331,0.798,NA
2020-11-16T00:00:00Z,225,Epe.fal,P13-C2-912-Epe.fal-225,3332,0.808,NA
2020-11-16T00:00:00Z,226,Pte.off,P13-C2-797-Pte.off-226,3333,0.832,NA
2020-11-16T00:00:00Z,227,Pte.off,P13-C2-634-Pte.off-227,3334,0.836,NA
2020-11-16T00:00:00Z,228,Sym.glo,P13-C2-629-Sym.glo-228,3335,0.736,NA
2020-11-16T00:00:00Z,229,Pte.off,P13-C2-737-Pte.off-229,3336,0.828,NA
2020-12-07T00:00:00Z,230,Tac.mel,P14-C1-363-Tac.mel-230,3395,0.829,NA
2020-12-07T00:00:00Z,231,Chr.pri,P14-C1-603-Chr.pri-231,3396,0.819,NA
2020-11-19T00:00:00Z,232,Sym.glo,P13-C1-2803-Sym.glo-232,3352,0.761,NA
2020-11-19T00:00:00Z,233,Lae.pro,P13-C1-2841-Lae.pro-233,3353,0.816,NA
2020-11-19T00:00:00Z,234,Con.gui,P13-C1-361-Con.gui-234,3354,0.789,NA
2020-11-19T00:00:00Z,235,Vir.mic,P13-C1-160-Vir.mic-235,3355,0.751,NA
2020-11-19T00:00:00Z,236,Jac.cop,P13-C1-1061-Jac.cop-236,3356,0.819,NA
2020-11-19T00:00:00Z,237,Chr.pri,P13-C1-853-Chr.pri-237,3357,0.818,NA
2020-11-19T00:00:00Z,238,Hym.het,P13-C1-910-Hym.het-238,3358,0.828,NA
2020-11-19T00:00:00Z,239,Hym.het,P13-C3-2921-Hym.het-239,3359,0.808,NA
2020-12-07T00:00:00Z,240,Epe.fal,P14-C1-4-Epe.fal-240,3397,0.794,NA
2020-11-30T00:00:00Z,241,Jac.cop,P15-C1-770-Jac.cop-241,3380,0.796,NA
2020-11-30T00:00:00Z,242,Boc.pro,P15-C2-452-Boc.pro-242,3381,0.758,NA
2020-11-30T00:00:00Z,243,Con.gui,P15-C2-445-Con.gui-243,3382,0.816,NA
2020-12-07T00:00:00Z,244,Tac.mel,P14-C4-2537-Tac.mel-244,3398,0.753,NA
