Code RWC,idTree,idLeaf,NrRunLeaf,spName,statusLeaf,phenoLeaf,DenseSecVeins,idVapro,NrRunVapro,C_0,comment storag/disc/run/health/pheno,P_osmo,P_tlp
222,499,1,1,Esc.cor,healthy,mature,ok,2,6,644,NA,-1.61,-1.9513900000000002
223,928,1,1,Sym.glo,healthy,mature,no,2,5,510,NA,-1.2750000000000001,-1.6837250000000001
224,782,1,1,Hym.het,healthy,mature,ok,2,4,400,NA,-1,-1.464
225,912,1,1,Epe.fal,healthy,mature,ok,2,8,558,NA,-1.395,-1.779605
226,797,1,1,Pte.off,herbivory,mature,ok,2,6,546,NA,-1.365,-1.755635
227,634,1,1,Pte.off,healthy,young,ok,2,8,449,NA,-1.1225,-1.5618775
228,629,1,1,Sym.glo,healthy,mature,no,2,3,591,NA,-1.4775,-1.8455225000000002
229,737,1,1,Pte.off,healthy,young,ok,2,8,417,NA,-1.0425,-1.4979575
230,NA,1,1,Tac.mel,herbivory,mature,ok,1,6,615,NA,-1.5375,-1.8934625000000003
231,NA,1,1,Chr.pri,healthy,mature,ok,1,7,653,NA,-1.6325,-1.9693675000000002
232,NA,1,1,Sym.glo,healthy,mature,no,2,4,479,NA,-1.1975,-1.6218025000000003
233,NA,1,1,Lae.pro,healthy,young,ok,2,5,552,NA,-1.3800000000000001,-1.7676200000000002
234,NA,1,1,Con.gui,healthy,mature,ok,2,6,626,NA,-1.565,-1.915435
235,NA,1,1,Vir.mic,healthy,mature,ok,2,4,814,NA,-2.035,-2.290965
236,NA,1,1,Jac.cop,healthy,mature,ok,2,8,344,NA,-0.86,-1.35214
237,NA,1,1,Chr.pri,healthy,mature,ok,2,8,848,NA,-2.12,-2.35888
238,NA,2,1,Hym.het,herbivory,young,ok,2,9,566,NA,-1.415,-1.7955850000000002
239,NA,1,1,Hym.het,healthy,mature,ok,2,8,458,NA,-1.145,-1.5798550000000002
240,NA,1,1,Epe.fal,healthy,mature,ok,1,4,454,NA,-1.135,-1.571865
241,NA,1,2,Jac.cop,healthy,mature,ok,2,10,373,NA,-0.9325,-1.4100675
242,NA,1,1,Boc.pro,healthy,mature,ok,2,5,587,NA,-1.4675,-1.8375325
243,NA,1,1,Con.gui,healthy,mature,ok,2,6,577,NA,-1.4425000000000001,-1.8175575000000002
244,NA,1,1,Tac.mel,herbivory,mature,ok,1,5,582,NA,-1.455,-1.8275450000000002
